Using downloaded and verified file: data/train_32x32.mat
Using downloaded and verified file: data/test_32x32.mat
INFO:__main__:Epoch 217, G Loss:1.14, D Loss:-2.89, G WD:3.48, gp:0.58, Time: 37.09.
INFO:__main__:Epoch 218, G Loss:1.17, D Loss:-2.89, G WD:3.48, gp:0.59, Time: 37.26.
INFO:__main__:Epoch 219, G Loss:1.14, D Loss:-2.90, G WD:3.49, gp:0.59, Time: 37.03.
INFO:__main__:Epoch 220, G Loss:1.20, D Loss:-2.88, G WD:3.47, gp:0.59, Time: 36.82.
INFO:__main__:Epoch 221, G Loss:1.12, D Loss:-2.89, G WD:3.47, gp:0.58, Time: 37.21.
INFO:__main__:Epoch 222, G Loss:1.05, D Loss:-2.89, G WD:3.48, gp:0.59, Time: 36.98.
INFO:__main__:Epoch 223, G Loss:1.03, D Loss:-2.89, G WD:3.47, gp:0.59, Time: 37.01.
INFO:__main__:Epoch 224, G Loss:1.37, D Loss:-2.87, G WD:3.45, gp:0.59, Time: 37.19.
INFO:__main__:Epoch 225, G Loss:1.58, D Loss:-2.86, G WD:3.45, gp:0.59, Time: 37.10.
INFO:__main__:Epoch 226, G Loss:1.53, D Loss:-2.87, G WD:3.45, gp:0.58, Time: 37.28.
INFO:__main__:Epoch 227, G Loss:1.70, D Loss:-2.86, G WD:3.45, gp:0.59, Time: 27.11.
INFO:__main__:Epoch 228, G Loss:1.69, D Loss:-2.86, G WD:3.45, gp:0.58, Time: 23.20.
INFO:__main__:Epoch 229, G Loss:1.59, D Loss:-2.85, G WD:3.43, gp:0.58, Time: 23.16.
INFO:__main__:Epoch 230, G Loss:1.55, D Loss:-2.85, G WD:3.44, gp:0.58, Time: 23.25.
INFO:__main__:Epoch 231, G Loss:1.70, D Loss:-2.83, G WD:3.41, gp:0.57, Time: 23.50.
INFO:__main__:Epoch 232, G Loss:1.87, D Loss:-2.86, G WD:3.44, gp:0.58, Time: 23.30.
INFO:__main__:Epoch 233, G Loss:2.01, D Loss:-2.84, G WD:3.42, gp:0.58, Time: 23.04.
INFO:__main__:Epoch 234, G Loss:1.81, D Loss:-2.83, G WD:3.41, gp:0.58, Time: 22.99.
